amber	charmm	resi
>POPC	PA	PC	OL
P31	P	PC
N31	N	PC
C31	C11	PC
C32	C12	PC
C33	C13	PC
C34	C14	PC
C35	C15	PC
O31	O11	PC
O32	O12	PC
O33	O13	PC
O34	O14	PC
C3	C1 	PC
C2	C2 	PC
O21	O21	PC
O22	O22	PC
C21	C21	PC
C1	C3 	PC
O11	O31	PC
C11	C31	PC
O12	O32	PC
C12	C22	OL
C13	C23	OL
C14	C24	OL
C15	C25	OL
C16	C26	OL
C17	C27	OL
C18	C28	OL
C19	C29	OL
C110	C210	OL
C111	C211	OL
C112	C212	OL
C113	C213	OL
C114	C214	OL
C115	C215	OL
C116	C216	OL
C117	C217	OL
C118	C218	OL
C12	C32	PA
C13	C33	PA
C14	C34	PA
C15	C35	PA
C16	C36	PA
C17	C37	PA
C18	C38	PA
C19	C39	PA
C110	C310	PA
C111	C311	PA
C112	C312	PA
C113	C313	PA
C114	C314	PA
C115	C315	PA
C116	C316	PA
>POPA	PA	PH-	OL
C12	C32	PA
C13	C33	PA
C14	C34	PA
C15	C35	PA
C16	C36	PA
C17	C37	PA
C18	C38	PA
C19	C39	PA
C110	C310	PA
C111	C311	PA
C112	C312	PA
C113	C313	PA
C114	C314	PA
C115	C315	PA
C116	C316	PA
P31 P   PH-
O31 O11 PH-
O32 O12 PH-
O33 O13 PH-
O34 O14 PH-
C3  C1  PH-
C2  C2  PH-
C1  C3  PH-
O21 O21 PH-
O22 O22 PH-
C21 C21 PH-
C11 C31 PH-
O11 O31 PH-
O12 O32 PH-
C12	C22	OL
C13	C23	OL
C14	C24	OL
C15	C25	OL
C16	C26	OL
C17	C27	OL
C18	C28	OL
C19	C29	OL
C110	C210	OL
C111	C211	OL
C112	C212	OL
C113	C213	OL
C114	C214	OL
C115	C215	OL
C116	C216	OL
C117	C217	OL
C118	C218	OL
>DOPA   OL  PH- OL
C12 C32 OL
C13 C33 OL
C14 C34 OL
C15 C35 OL
C16 C36 OL
C17 C37 OL
C18 C38 OL
C19 C39 OL
C110    C310    OL
C111    C311    OL
C112    C312    OL
C113    C313    OL
C114    C314    OL
C115    C315    OL
C116    C316    OL
C117    C317    OL
C118    C318    OL
P31 P   PH-
O31 O11 PH-
O32 O12 PH-
O33 O13 PH-
O34 O14 PH-
C3  C1  PH-
C2  C2  PH-
C1  C3  PH-
O21 O21 PH-
O22 O22 PH-
C21 C21 PH-
C11 C31 PH-
O11 O31 PH-
O12 O32 PH-
C12 C22 OL
C13 C23 OL
C14 C24 OL
C15 C25 OL
